ProjectID|CustomerID|ProjectType|Status|StartDateStr|CompletionDateStr|BidAmount|FinalAmount|CostOverrunAmount|ProfitMargin|Warranty|ServicePlan|ConstructionType|SquareFootage|City|Neighborhood|ArchitecturalFirm|GeneralContractor|BidWinDate|EstimatedHours|ActualHours|DelayImpactHours|EstimatedCompletionDate|DelayReason|CustomerSatisfaction
640|57|Whole-Home Automation|Contract Signed|2022-01-02|N/A|249959.87|TBD|0.0|TBD|TBD|TBD|System Upgrade|6127|Mercer Island|South End|Martinez, Hartman and Parsons|Wu, Mack and King|2021-11-10|299|TBD|0|2022-06-02|N/A|N/A
641|726|Luxury Home Theater|Design Phase|2022-12-12|N/A|62751.72|TBD|0.0|TBD|TBD|TBD|Major Remodel|8351|Seattle|Madison Park|Hogan, Russell and Williams|Miles, Holt and Porter|2022-12-01|449|TBD|0|2023-01-29|N/A|N/A
642|403|Home Network Infrastructure|In Progress|2023-01-01|TBD|250147.39|260066.46|0.0|TBD|TBD|TBD|System Upgrade|5488|Seattle|Broadmoor|Scott PLC|Nelson PLC|2022-11-30|95|95|0|2023-06-07|N/A|N/A
643|358|Whole Home Battery Backup|Completed|2021-06-11|2021-09-06|300501.02|293402.8|0|TBD|5 years|Premium|New Construction|7087|Woodinville|Hollywood Hill|N/A|Baker-Knight|2021-04-14|420|555|33|2021-08-20|Material Delays|3
644|528|Whole Home Battery Backup|Completed|2022-04-03|2022-06-29|332791.48|352732.56|0|TBD|1 years|Basic|New Construction|9427|Kirkland|Juanita|Johnson-Powell|Frazier, Atkinson and Cook|2022-03-01|300|357|0|2022-07-21|N/A|4
645|734|Golf Simulator Room|Cancelled|2021-09-27|2021-10-01|65926.12|TBD|0.0|TBD|TBD|TBD|New Construction|13999|Mercer Island|North End|Johnson, Carey and Schwartz|Baker-Ross|2021-08-21|291|1|0|2022-02-08|Funding Issue|N/A
646|322|Golf Simulator Room|Contract Signed|2022-10-10|N/A|362723.35|TBD|0.0|TBD|TBD|TBD|System Upgrade|3680|Bellevue|Bridle Trails|Grant, Sutton and Little|Duncan-Williams|2022-09-07|509|TBD|0|2022-11-09|N/A|N/A
647|784|Smart Home Integration|In Progress|2024-09-12|TBD|129287.51|134092.83|0.0|TBD|TBD|TBD|Addition|3392|Redmond|Education Hill|Thomas-Mcgrath|Torres Ltd|2024-09-03|470|470|0|2025-01-11|N/A|N/A
648|538|Custom Security System|Design Phase|2021-08-12|N/A|329569.91|TBD|0.0|TBD|TBD|TBD|Major Remodel|12828|Seattle|Broadmoor|Barrett, Roberts and Howard|Ramos, Jordan and Stewart|2021-07-31|467|TBD|0|2021-11-22|N/A|N/A
649|611|Golf Simulator Room|Completed|2021-07-21|2021-10-17|372797.27|415891.24|0|TBD|2 years|Premium|System Upgrade|4451|Redmond|Education Hill|Craig Ltd|Roberts, Sullivan and Myers|2021-06-17|79|102|12|2021-10-12|Client Changes|4
650|690|Luxury Home Theater|Completed|2022-12-19|2023-05-16|20933.62|26841.85|0|TBD|4 years|Standard|Major Remodel|3029|Woodinville|Hollywood Hill|Humphrey LLC|Williams Group|2022-10-09|382|484|68|2023-04-25|Weather|4
651|106|Integrated Climate Control|Completed|2022-08-18|2022-11-01|284455.42|341111.06|15111.96|TBD|1 years|None|New Construction|9559|Sammamish|Sahalee|Simpson-Warren|Morales, Harrison and Carter|2022-07-25|509|531|0|2022-11-05|N/A|4
652|446|Golf Simulator Room|On Hold|2022-12-11|N/A|186544.55|170853.57|0.0|TBD|TBD|TBD|Addition|10877|Bellevue|West Bellevue|Bennett, Stone and Aguilar|Taylor Ltd|2022-09-19|249|TBD|0|2023-05-30|N/A|N/A
653|769|Smart Home Integration|Completed|2023-11-21|2024-03-23|173107.55|185919.79|4284.64|TBD|4 years|Premium|System Upgrade|9589|Seattle|Queen Anne|Anderson-Roman|Miller-Blake|2023-10-14|421|559|0|2024-04-14|N/A|4
654|205|Golf Simulator Room|Completed|2021-04-10|2021-10-14|138575.39|170011.57|7383.19|TBD|3 years|Basic|Addition|10898|Seattle|Magnolia|Taylor-Ball|Graham-Tate|2021-04-03|254|346|2|2021-08-30|Client Changes|3
655|298|Multi-Room Audio Video|Completed|2023-10-12|2024-04-27|21148.72|20857.37|0|TBD|3 years|None|System Upgrade|13891|Seattle|Clyde Hill|Carlson-Anderson|Walter-Wheeler|2023-09-21|150|192|26|2024-03-13|Client Changes|4
656|402|Whole Home Battery Backup|Completed|2021-02-18|2021-07-30|164438.6|182590.43|0|TBD|5 years|Standard|Addition|5213|Bellevue|Bridle Trails|Cuevas, Leonard and Webb|Martinez LLC|2020-12-23|342|477|129|2021-06-15|Client Changes|5
657|449|Automated Shading Solutions|Completed|2022-02-19|2022-07-08|98823.5|99326.11|0|TBD|5 years|Premium|Major Remodel|3290|Redmond|Sammamish Valley|N/A|Moore-Jimenez|2022-01-06|294|285|0|2022-06-01|Client Changes|3
658|535|Home Network Infrastructure|On Hold|2024-03-05|N/A|168805.58|165006.98|0.0|TBD|TBD|TBD|Addition|14357|Seattle|Queen Anne|Underwood-Phillips|Brown LLC|2024-01-11|361|TBD|0|2024-07-18|N/A|N/A
659|256|Custom Wine Cellar Monitoring|Contract Signed|2023-02-13|N/A|303188.98|TBD|0.0|TBD|TBD|TBD|Addition|3912|Seattle|Medina|Crane-Clark|Pace, Morris and Hill|2023-01-12|198|TBD|0|2023-06-09|N/A|N/A
660|520|Smart Home Integration|Completed|2022-04-05|2022-08-03|259450.27|293575.76|0|TBD|2 years|Basic|System Upgrade|4675|Redmond|Education Hill|N/A|Peterson LLC|2022-03-24|79|84|3|2022-07-17|Subcontractor Issues|3
661|790|Custom Security System|In Progress|2021-01-25|TBD|329651.57|311026.91|0.0|TBD|TBD|TBD|Major Remodel|10992|Redmond|Education Hill|Myers, Johnson and Meyer|Hood, Monroe and Parker|2020-12-08|452|452|0|2021-06-09|N/A|N/A
662|149|Biometric Security System|Completed|2024-07-24|2025-01-13|241837.35|299925.41|0|TBD|2 years|None|System Upgrade|7960|Bellevue|Bridle Trails|Johns-Chavez|Cox Inc|2024-06-20|430|464|0|2025-01-19|N/A|4
663|546|Custom Wine Cellar Monitoring|Completed|2022-06-16|2022-09-30|102988.96|100608.19|0|TBD|1 years|Standard|System Upgrade|3680|Seattle|Magnolia|Mejia-Smith|Odonnell-Prince|2022-05-26|297|341|25|2022-08-23|Weather|5
664|95|Integrated Climate Control|In Progress|2021-11-09|TBD|263224.08|258420.99|0.0|TBD|TBD|TBD|Addition|4397|Seattle|Medina|N/A|Gonzalez-Miller|2021-10-21|164|164|0|2022-03-16|N/A|N/A
665|269|Multi-Room Audio Video|Completed|2024-03-08|2024-06-21|343872.03|414090.14|0|TBD|3 years|None|Major Remodel|7742|Seattle|Hunts Point|Wilson, Nelson and Sellers|Murphy PLC|2024-02-20|144|186|39|2024-05-08|Weather|5
666|715|Custom Security System|Contract Signed|2021-07-10|N/A|57353.51|TBD|0.0|TBD|TBD|TBD|New Construction|8112|Seattle|Medina|N/A|Roberts and Sons|2021-05-18|568|TBD|0|2021-08-26|N/A|N/A
667|49|Automated Shading Solutions|In Progress|2021-11-17|TBD|131405.35|119278.01|0.0|TBD|TBD|TBD|System Upgrade|9784|Seattle|Medina|N/A|Hernandez Ltd|2021-09-25|495|495|0|2022-01-15|N/A|N/A
668|484|Voice Control Integration|Completed|2023-03-03|2023-07-14|297638.77|323355.93|0|TBD|1 years|Basic|Major Remodel|5498|Kirkland|Houghton|Dawson, Smith and Miller|Morse PLC|2023-02-17|555|632|8|2023-06-16|Client Changes|3
669|191|Custom Wine Cellar Monitoring|Completed|2021-04-22|2021-07-27|17867.12|22868.11|266.41|TBD|3 years|Basic|Major Remodel|9441|Woodinville|Hollywood Hill|N/A|Hendricks-Small|2021-03-07|67|65|0|2021-07-29|N/A|4
670|357|Biometric Security System|On Hold|2023-04-09|N/A|22735.53|21225.12|0.0|TBD|TBD|TBD|Addition|8744|Seattle|Magnolia|Swanson LLC|Davidson, Jones and Atkins|2023-03-18|44|TBD|0|2023-05-27|N/A|N/A
671|39|Biometric Security System|In Progress|2023-03-24|TBD|253816.62|243426.52|0.0|TBD|TBD|TBD|New Construction|5715|Bellevue|Beaux Arts|Howe, Washington and Walker|Meadows, Hodge and Becker|2023-03-06|123|123|0|2023-05-02|N/A|N/A
672|388|Automated Shading Solutions|Design Phase|2022-08-15|N/A|366789.92|TBD|0.0|TBD|TBD|TBD|Addition|10600|Sammamish|Sahalee|N/A|Owens, Davenport and Vargas|2022-07-28|491|TBD|0|2022-11-24|N/A|N/A
673|498|Custom Security System|Completed|2024-07-26|2025-02-08|25842.64|25034.93|0|TBD|2 years|None|Addition|10676|Seattle|Medina|N/A|Hernandez, Russo and Williams|2024-07-16|318|314|0|2025-01-04|Subcontractor Issues|3
674|54|Custom Security System|Completed|2022-03-31|2022-09-03|359786.25|351100.84|0|TBD|5 years|Premium|New Construction|12400|Mercer Island|South End|N/A|Davis Inc|2022-03-15|357|342|0|2022-07-19|Client Changes|4
675|351|Custom Wine Cellar Monitoring|Completed|2022-07-24|2022-10-09|119427.97|123169.26|0|TBD|5 years|None|System Upgrade|13872|Issaquah|Squak Mountain|Arias-Thomas|Robinson PLC|2022-07-01|135|136|0|2022-10-05|Material Delays|4
676|185|Integrated Climate Control|In Progress|2021-11-28|TBD|149231.16|161374.74|0.0|TBD|TBD|TBD|New Construction|8097|Sammamish|Sahalee|Glenn, Santana and Holmes|Rodriguez, Smith and Williams|2021-11-13|531|531|0|2022-01-24|Client Changes|N/A
677|712|Custom Wine Cellar Monitoring|Cancelled|2023-04-08|2023-04-22|103229.44|TBD|0.0|TBD|TBD|TBD|Addition|6546|Issaquah|Squak Mountain|N/A|Knight, Hernandez and Collins|2023-03-13|435|25|0|2023-07-01|Scope Change Rejected|N/A
678|281|Whole Home Battery Backup|Completed|2022-07-14|2022-10-31|259287.36|281536.06|0|TBD|2 years|Standard|New Construction|7272|Mercer Island|South End|Cooper-Ford|Fischer, Graham and Robinson|2022-06-26|240|313|67|2022-09-20|Subcontractor Issues|4
679|140|Whole Home Battery Backup|Completed|2021-09-12|2022-03-10|338094.97|418786.33|0|TBD|3 years|Premium|Major Remodel|4940|Mercer Island|South End|Ward-Wells|Parsons-Pitts|2021-08-25|439|599|110|2022-02-12|Client Changes|4
680|614|Whole-Home Automation|Completed|2023-03-17|2023-09-30|53948.56|56839.65|0|TBD|2 years|None|System Upgrade|8908|Redmond|Sammamish Valley|N/A|Butler Ltd|2023-03-05|232|293|25|2023-09-13|Material Delays|4
681|683|Multi-Room Audio Video|Completed|2022-05-29|2022-12-05|239198.09|298587.53|708.33|TBD|3 years|Basic|Major Remodel|9380|Seattle|Clyde Hill|Shaw-Clements|Gonzalez Group|2022-05-14|141|196|25|2022-10-27|Inspection Delays|3
682|49|Home Network Infrastructure|Completed|2021-08-16|2021-10-11|306797.41|395394.37|0|TBD|4 years|Standard|New Construction|5282|Seattle|Hunts Point|Hernandez, Collins and Adkins|Fowler and Sons|2021-07-03|125|135|6|2021-09-29|Client Changes|5
683|644|Whole Home Battery Backup|Completed|2024-02-13|2024-05-10|63615.2|75438.01|362.73|TBD|1 years|None|System Upgrade|11670|Seattle|Madison Park|Wilson-Nolan|Frazier, Todd and Spencer|2024-01-25|583|709|48|2024-05-02|Inspection Delays|5
684|65|Multi-Room Audio Video|Completed|2023-04-26|2023-09-18|24235.28|24832.99|217.34|TBD|5 years|Standard|Addition|7709|Seattle|Madison Park|Williams-Wright|Diaz-Spencer|2023-03-30|364|323|0|2023-08-26|Weather|3
685|434|Multi-Room Audio Video|On Hold|2024-07-08|N/A|86361.45|82247.16|0.0|TBD|TBD|TBD|New Construction|14309|Sammamish|Trossachs|Lopez, Hayden and Moore|Alexander-Kennedy|2024-05-29|69|TBD|0|2024-10-03|N/A|N/A
686|180|Integrated Climate Control|Completed|2022-10-11|2022-12-25|259190.12|334907.02|34061.22|TBD|2 years|Premium|Major Remodel|13404|Bellevue|Newport Shores|Herman-Erickson|Anderson, Payne and Simpson|2022-08-12|463|504|0|2022-11-26|Weather|3
687|264|Smart Water Management|In Progress|2024-05-18|TBD|328125.57|306168.45|0.0|TBD|TBD|TBD|Major Remodel|8128|Seattle|Laurelhurst|Mann-Carey|Miller-Ortega|2024-04-28|306|306|0|2024-11-13|N/A|N/A
688|88|Automated Shading Solutions|Completed|2024-11-01|2025-04-03|305092.13|313603.28|1095.83|TBD|1 years|Premium|New Construction|8250|Issaquah|Issaquah Highlands|N/A|Garrett LLC|2024-10-15|479|599|55|2025-02-02|Inspection Delays|3
689|242|Outdoor Entertainment System|Completed|2022-10-12|2023-01-24|356365.47|410531.08|0|TBD|5 years|Premium|New Construction|14685|Woodinville|Hollywood Hill|Jones and Sons|Pruitt, Peters and Munoz|2022-09-17|437|585|123|2022-11-25|Inspection Delays|4
690|674|Automated Lighting Control|In Progress|2021-08-27|TBD|135894.33|130375.84|0.0|TBD|TBD|TBD|New Construction|5870|Sammamish|Sahalee|Watson Ltd|Foster Inc|2021-07-25|444|444|0|2022-01-05|N/A|N/A
691|782|Custom Wine Cellar Monitoring|On Hold|2024-03-08|N/A|374008.14|396198.45|0.0|TBD|TBD|TBD|Major Remodel|12857|Bellevue|Somerset|Pena, Castillo and Phillips|Scott LLC|2024-01-31|272|TBD|0|2024-08-04|N/A|N/A
692|467|Custom Wine Cellar Monitoring|On Hold|2024-03-01|N/A|115785.82|106183.43|0.0|TBD|TBD|TBD|New Construction|10855|Mercer Island|North End|Smith Inc|Trujillo Inc|2024-02-13|300|TBD|0|2024-05-07|N/A|N/A
693|44|Voice Control Integration|Completed|2024-12-26|2025-03-23|365865.51|384920.62|0|TBD|1 years|Standard|Major Remodel|6407|Seattle|Medina|Weeks-Kelly|Kramer, Harper and Velazquez|2024-12-18|403|555|118|2025-03-03|Subcontractor Issues|3
694|114|Outdoor Entertainment System|Design Phase|2022-05-26|N/A|248020.67|TBD|0.0|TBD|TBD|TBD|Major Remodel|11376|Kirkland|Houghton|Zimmerman-Collins|Lewis PLC|2022-04-23|189|TBD|0|2022-11-02|N/A|N/A
695|66|Golf Simulator Room|Completed|2023-08-25|2024-01-30|378215.87|460241.0|14310.75|TBD|4 years|Standard|Major Remodel|3043|Redmond|Sammamish Valley|Horn, Davis and Martinez|Perez-Cardenas|2023-07-24|577|517|0|2024-02-04|N/A|5
696|340|Golf Simulator Room|Completed|2021-02-16|2021-05-22|297308.96|304227.11|0|TBD|2 years|None|New Construction|5572|Sammamish|Sahalee|Floyd-Cantu|Dean PLC|2021-01-13|597|591|0|2021-04-22|Subcontractor Issues|5
697|132|Luxury Home Theater|Design Phase|2024-12-23|N/A|205639.1|TBD|0.0|TBD|TBD|TBD|System Upgrade|14282|Issaquah|Issaquah Highlands|Johnson-Johnson|Francis Ltd|2024-11-14|122|TBD|0|2025-04-25|N/A|N/A
698|40|Automated Lighting Control|Contract Signed|2021-12-21|N/A|170658.87|TBD|0.0|TBD|TBD|TBD|Addition|5205|Seattle|Broadmoor|Perez-Turner|Crawford, Rodgers and Daniels|2021-11-26|53|TBD|0|2022-02-01|N/A|N/A
699|727|Automated Lighting Control|Completed|2024-09-01|2024-10-20|228135.32|295027.75|0|TBD|4 years|Basic|Major Remodel|12179|Seattle|Medina|Cervantes-Love|Jones, Schmidt and Hunter|2024-08-16|234|287|52|2024-10-01|Material Delays|3
700|595|Whole-Home Automation|Completed|2021-09-11|2022-03-10|110187.13|115416.27|2465.19|TBD|2 years|Standard|Addition|4631|Kirkland|Juanita|Hunt-Brown|Ferrell, Lamb and Anderson|2021-07-24|434|481|43|2022-01-28|Material Delays|3
701|303|Golf Simulator Room|Completed|2021-03-04|2021-06-27|126800.78|146206.04|0|TBD|1 years|None|Major Remodel|11449|Seattle|Medina|Armstrong-Hernandez|Scott, Bryant and Levine|2020-12-20|337|389|6|2021-06-15|Material Delays|5
702|340|Golf Simulator Room|Design Phase|2023-01-05|N/A|52876.66|TBD|0.0|TBD|TBD|TBD|Major Remodel|5001|Bellevue|Beaux Arts|Robertson Group|Aguilar-Williams|2022-12-23|457|TBD|0|2023-02-08|N/A|N/A
703|241|Luxury Home Theater|In Progress|2024-11-30|TBD|136033.0|145213.96|0.0|TBD|TBD|TBD|Major Remodel|10471|Sammamish|Trossachs|Lewis and Sons|Lopez PLC|2024-10-28|176|176|0|2025-02-09|N/A|N/A
704|475|Custom Security System|Completed|2022-07-10|2022-11-16|48537.25|61648.25|0|TBD|3 years|Premium|System Upgrade|8232|Redmond|Education Hill|Baker-Williams|Smith-Hayes|2022-05-24|548|518|0|2022-10-26|Weather|5
705|121|Integrated Climate Control|Completed|2024-01-18|2024-03-08|23822.85|30206.58|0|TBD|3 years|Premium|New Construction|14578|Woodinville|Bear Creek|N/A|Wilson, Collins and David|2023-12-19|451|438|0|2024-04-02|N/A|4
706|787|Outdoor Entertainment System|Proposal|2023-06-04|N/A|240972.59|TBD|0.0|TBD|TBD|TBD|Major Remodel|9028|Mercer Island|South End|Humphrey, Fox and Salinas|Ford, Stevens and Sharp|2023-05-22|174|TBD|0|2023-09-21|N/A|N/A
707|607|Golf Simulator Room|In Progress|2025-02-05|TBD|179728.8|177748.81|0.0|TBD|TBD|TBD|New Construction|4752|Mercer Island|North End|N/A|Scott-Stevens|2025-01-25|86|59|0|2025-04-22|N/A|N/A
708|700|Custom Wine Cellar Monitoring|Design Phase|2022-04-03|N/A|168203.04|TBD|0.0|TBD|TBD|TBD|Major Remodel|10244|Bellevue|West Bellevue|Powell Group|Morales-Smith|2022-03-27|379|TBD|0|2022-07-20|N/A|N/A
709|120|Custom Wine Cellar Monitoring|Design Phase|2023-03-08|N/A|352411.23|TBD|0.0|TBD|TBD|TBD|New Construction|4786|Bellevue|Somerset|N/A|Gray-Love|2023-02-05|405|TBD|0|2023-08-30|N/A|N/A
710|601|Automated Lighting Control|In Progress|2022-02-17|TBD|116840.56|115266.09|0.0|TBD|TBD|TBD|New Construction|5128|Mercer Island|North End|Bond PLC|Wilson and Sons|2022-02-04|424|424|0|2022-07-30|N/A|N/A
711|774|Biometric Security System|Design Phase|2022-04-11|N/A|349072.67|TBD|0.0|TBD|TBD|TBD|New Construction|7037|Woodinville|Hollywood Hill|Newman, Martinez and Carpenter|Trevino PLC|2022-03-31|327|TBD|0|2022-09-14|N/A|N/A
712|659|Integrated Climate Control|Completed|2024-03-28|2024-05-12|94343.29|111972.81|0|TBD|4 years|Premium|System Upgrade|5384|Redmond|Education Hill|N/A|Grimes-Medina|2024-03-13|517|620|0|2024-05-29|N/A|4
713|509|Biometric Security System|Completed|2024-02-23|2024-09-06|273225.32|264455.43|0|TBD|5 years|None|New Construction|13568|Seattle|Medina|Peters-Green|Anderson-Green|2024-01-09|446|539|69|2024-08-02|Material Delays|3
714|670|Custom Wine Cellar Monitoring|Completed|2024-06-14|2024-10-08|165002.55|209053.17|9383.73|TBD|1 years|Premium|Addition|13489|Woodinville|Bear Creek|George and Sons|Escobar Ltd|2024-05-05|323|357|16|2024-09-28|Material Delays|4
715|373|Smart Water Management|Completed|2023-07-15|2024-03-04|368345.55|432029.05|0|TBD|5 years|Standard|New Construction|10570|Sammamish|Sahalee|Schneider-Murillo|Hudson-Bates|2023-06-11|151|161|4|2024-01-06|Weather|4
716|477|Automated Lighting Control|Completed|2022-10-06|2023-01-13|381677.06|453057.03|0|TBD|4 years|Basic|Major Remodel|3930|Kirkland|Houghton|N/A|Mccullough Group|2022-09-23|548|591|35|2023-01-01|Client Changes|4
717|419|Biometric Security System|Completed|2021-07-12|2021-11-22|231655.44|232122.06|166.02|TBD|5 years|Standard|System Upgrade|7628|Seattle|Medina|Levy, Johnson and Nelson|Hinton-Davis|2021-06-09|363|314|0|2021-09-29|Subcontractor Issues|5
718|163|Integrated Climate Control|In Progress|2024-05-22|TBD|48558.9|53411.66|0.0|TBD|TBD|TBD|Major Remodel|14196|Bellevue|Newport Shores|King LLC|Murillo PLC|2024-04-09|381|381|0|2024-11-09|Client Changes|N/A
719|600|Multi-Room Audio Video|Completed|2022-10-05|2023-02-02|373421.33|386858.33|0|TBD|1 years|Standard|New Construction|7784|Kirkland|Juanita|Hill, Johns and Hart|Levy Ltd|2022-08-11|161|192|9|2023-01-27|Material Delays|5
720|272|Luxury Home Theater|In Progress|2023-01-02|TBD|31591.74|29149.99|0.0|TBD|TBD|TBD|System Upgrade|4206|Seattle|Queen Anne|N/A|Jarvis-Yates|2022-11-14|502|502|0|2023-04-30|Client Changes|N/A
721|753|Smart Home Integration|Completed|2023-01-09|2023-05-23|368989.37|369585.74|0|TBD|5 years|Standard|New Construction|9856|Bellevue|Beaux Arts|Garcia-Rasmussen|Wilson Group|2022-12-29|441|561|0|2023-06-08|N/A|3
722|430|Integrated Climate Control|Contract Signed|2021-11-12|N/A|258315.32|TBD|0.0|TBD|TBD|TBD|New Construction|8974|Bellevue|Newport Shores|Young, Grant and Davis|Smith, Hansen and Swanson|2021-10-09|594|TBD|0|2022-01-19|N/A|N/A
723|7|Smart Water Management|In Progress|2022-12-24|TBD|230463.01|209769.97|0.0|TBD|TBD|TBD|Addition|6477|Mercer Island|South End|Mccormick LLC|Herring, Davis and Norris|2022-11-24|302|302|0|2023-01-24|N/A|N/A
724|677|Luxury Home Theater|Completed|2023-09-25|2024-01-11|113361.31|140366.04|7015.13|TBD|4 years|Standard|Major Remodel|9558|Issaquah|Squak Mountain|N/A|Morgan, Bailey and Ward|2023-09-08|261|315|0|2024-01-12|N/A|4
725|693|Outdoor Entertainment System|On Hold|2021-10-19|N/A|365449.6|342335.76|0.0|TBD|TBD|TBD|New Construction|12244|Kirkland|Houghton|Drake, Mckinney and Armstrong|Jackson-Dean|2021-09-08|57|TBD|0|2022-03-06|N/A|N/A
726|447|Custom Security System|Completed|2021-08-02|2021-11-07|80119.11|77678.36|0|TBD|1 years|Basic|Major Remodel|7142|Bellevue|Bridle Trails|Berry-Gonzalez|Clark Group|2021-07-21|482|659|118|2021-09-10|Client Changes|5
727|26|Smart Home Integration|Completed|2021-12-02|2022-03-18|289423.12|290911.61|0|TBD|2 years|Standard|Major Remodel|4842|Seattle|Medina|Browning Group|Johnston-Thompson|2021-10-19|226|261|0|2022-04-08|N/A|3
728|456|Luxury Home Theater|Contract Signed|2021-11-23|N/A|347308.17|TBD|0.0|TBD|TBD|TBD|Major Remodel|5380|Redmond|Education Hill|N/A|Murray-Stone|2021-11-08|83|TBD|0|2022-04-08|N/A|N/A
729|82|Outdoor Entertainment System|Completed|2022-01-08|2022-02-28|344709.73|440103.43|9230.09|TBD|5 years|None|Major Remodel|14353|Mercer Island|North End|N/A|Freeman-Bradley|2021-10-22|363|432|41|2022-02-20|Subcontractor Issues|5
730|272|Multi-Room Audio Video|Completed|2021-12-09|2022-06-11|289430.13|302385.92|0|TBD|5 years|Basic|Addition|14347|Seattle|Medina|Kramer-Coleman|Bass LLC|2021-11-26|94|93|0|2022-06-04|Material Delays|5
731|470|Whole Home Battery Backup|Completed|2024-11-23|2025-04-05|218237.16|248292.77|54.15|TBD|3 years|None|System Upgrade|9825|Bellevue|Beaux Arts|N/A|Washington PLC|2024-11-06|221|244|14|2025-03-20|Inspection Delays|4
732|535|Custom Wine Cellar Monitoring|Cancelled|2021-04-19|2021-05-28|367863.19|TBD|0.0|TBD|TBD|TBD|Major Remodel|11941|Bellevue|Bridle Trails|Richards and Sons|Johnson, Kelley and Stephens|2021-03-28|185|42|0|2021-06-10|Scope Change Rejected|N/A
733|2|Smart Home Integration|Contract Signed|2024-05-11|N/A|277193.03|TBD|0.0|TBD|TBD|TBD|Addition|7213|Seattle|Madison Park|White-Buchanan|Lee PLC|2024-03-04|450|TBD|0|2024-07-17|N/A|N/A
734|77|Luxury Home Theater|Proposal|2023-10-07|N/A|139832.85|TBD|0.0|TBD|TBD|TBD|Addition|11892|Redmond|Education Hill|Smith, Shepherd and Atkinson|Cox Inc|2023-09-24|474|TBD|0|2024-03-17|N/A|N/A
735|571|Voice Control Integration|In Progress|2024-08-06|TBD|250857.68|233013.93|0.0|TBD|TBD|TBD|Major Remodel|5018|Seattle|Laurelhurst|Davis Inc|Lynch LLC|2024-06-27|523|523|0|2024-11-22|N/A|N/A
736|3|Smart Home Integration|Cancelled|2022-05-03|2022-06-23|376562.87|TBD|0.0|TBD|TBD|TBD|System Upgrade|12112|Seattle|Medina|N/A|Fox-Smith|2022-04-08|125|9|0|2022-08-10|Client Decision|N/A
737|562|Custom Wine Cellar Monitoring|Completed|2021-08-31|2022-03-12|255606.47|307644.34|21517.93|TBD|1 years|None|New Construction|7669|Seattle|Magnolia|White-Gonzalez|Porter-Moore|2021-08-15|449|597|26|2022-02-08|Material Delays|3
738|109|Smart Home Integration|Completed|2025-02-08|2025-08-13|50251.2|64031.61|0|TBD|1 years|Basic|New Construction|3839|Mercer Island|North End|Green PLC|Smith, Smith and Barber|2024-12-01|503|470|0|2025-06-15|Subcontractor Issues|3
739|84|Automated Shading Solutions|In Progress|2025-02-18|TBD|224830.02|209697.71|0.0|TBD|TBD|TBD|Major Remodel|14523|Mercer Island|North End|Davis-Peck|Petersen-Padilla|2025-01-13|52|29|0|2025-05-04|N/A|N/A
740|236|Whole Home Battery Backup|Contract Signed|2024-10-13|N/A|115637.7|TBD|0.0|TBD|TBD|TBD|Addition|14050|Mercer Island|South End|N/A|Collins Ltd|2024-09-26|413|TBD|0|2025-03-12|N/A|N/A
741|289|Voice Control Integration|In Progress|2023-05-15|TBD|72271.71|74629.31|0.0|TBD|TBD|TBD|System Upgrade|13960|Sammamish|Trossachs|Morrison, Sosa and Cooper|Walker-Stanley|2023-04-10|356|356|0|2023-10-07|N/A|N/A
742|800|Automated Shading Solutions|Contract Signed|2022-08-06|N/A|31000.25|TBD|0.0|TBD|TBD|TBD|System Upgrade|4522|Seattle|Queen Anne|N/A|James PLC|2022-07-21|491|TBD|0|2022-10-29|N/A|N/A
743|309|Biometric Security System|Completed|2022-04-16|2022-10-14|299184.64|284727.88|0|TBD|4 years|Premium|System Upgrade|8627|Redmond|Sammamish Valley|James, Estrada and Hughes|Levine PLC|2022-04-04|444|566|87|2022-09-01|Inspection Delays|4
744|753|Luxury Home Theater|Completed|2021-04-06|2021-11-03|206464.72|211420.62|0|TBD|3 years|Basic|System Upgrade|11246|Bellevue|Newport Shores|Foster, Williams and White|Ellis Group|2021-03-10|345|431|66|2021-09-16|Inspection Delays|3
745|93|Automated Lighting Control|Completed|2022-12-30|2023-03-10|83809.23|90586.03|492.53|TBD|5 years|None|Addition|12685|Seattle|Madison Park|Walker-Thompson|Hicks-Hughes|2022-12-06|378|439|0|2023-04-06|N/A|5
746|682|Integrated Climate Control|Completed|2021-04-27|2021-12-03|318119.62|310717.28|0|TBD|4 years|Basic|System Upgrade|12451|Kirkland|Juanita|Gonzales, Moore and Adams|Oliver-Harrison|2021-04-13|420|556|136|2021-10-06|Material Delays|4
747|340|Golf Simulator Room|Completed|2024-09-11|2025-01-27|114040.93|122155.84|0|TBD|2 years|Standard|Addition|13857|Seattle|Broadmoor|Richard, Brewer and Cox|Wallace, Gonzalez and Tate|2024-08-31|321|438|68|2024-11-30|Client Changes|3
748|254|Home Network Infrastructure|Completed|2021-12-02|2022-06-22|240861.31|274326.9|0|TBD|3 years|None|Addition|3080|Bellevue|Bridle Trails|N/A|Owens-Wilson|2021-11-13|535|709|156|2022-05-13|Weather|3
749|439|Custom Wine Cellar Monitoring|Completed|2021-08-01|2022-03-16|83995.02|89671.58|770.38|TBD|4 years|Premium|Major Remodel|13182|Seattle|Laurelhurst|Rogers, Byrd and Davis|Lowe-Harris|2021-06-21|298|331|11|2022-01-18|Client Changes|4
